Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi,text_final_stemmed_tokenized,polarity_score,polarity
Kenapa yang ada harus iklan judol? Kan bisa pasang iklan yang lain.,Kenapa yang ada harus iklan judol Kan bisa pasang iklan yang lain,kenapa yang ada harus iklan judol kan bisa pasang iklan yang lain,kenapa yang ada harus iklan judol kan bisa pasang iklan yang lain,kenapa yang ada harus iklan judol kan bisa pasang iklan yang lain,"['kenapa', 'yang', 'ada', 'harus', 'iklan', 'judol', 'kan', 'bisa', 'pasang', 'iklan', 'yang', 'lain']","['kenapa', 'yang', 'ada', 'harus', 'iklan', 'judol', 'kan', 'bisa', 'pasang', 'iklan', 'yang', 'lain']","['iklan', 'judol', 'pasang', 'iklan']",iklan judol pasang iklan,iklan judol pasang iklan,,"['iklan', 'judol', 'pasang', 'iklan']",4,positive
aplikasinya sangat bagus untuk mempelajari berbagai bahasa Jepang,aplikasinya sangat bagus untuk mempelajari berbagai bahasa Jepang,aplikasinya sangat bagus untuk mempelajari berbagai bahasa jepang,aplikasinya sangat bagus untuk mempelajari berbagai bahasa jepang,aplikasinya sangat bagus untuk mempelajari berbagai bahasa jepang,"['aplikasinya', 'sangat', 'bagus', 'untuk', 'mempelajari', 'berbagai', 'bahasa', 'jepang']","['aplikasinya', 'sangat', 'bagus', 'untuk', 'mempelajari', 'berbagai', 'bahasa', 'jepang']","['aplikasinya', 'bagus', 'mempelajari', 'bahasa', 'jepang']",aplikasinya bagus mempelajari bahasa jepang,aplikasi bagus ajar bahasa jepang,,"['aplikasi', 'bagus', 'ajar', 'bahasa', 'jepang']",15,positive
semoga aplikasi ini bisa membantu saya untuk memahami dan belajar bahasa Jepang dan semoga saya juga bisa ke Jepang suatu saat nanti 🤗,semoga aplikasi ini bisa membantu saya untuk memahami dan belajar bahasa Jepang dan semoga saya juga bisa ke Jepang suatu saat nanti,semoga aplikasi ini bisa membantu saya untuk memahami dan belajar bahasa jepang dan semoga saya juga bisa ke jepang suatu saat nanti,semoga aplikasi ini bisa membantu saya untuk memahami dan belajar bahasa jepang dan semoga saya juga bisa ke jepang suatu saat nanti,semoga aplikasi ini bisa membantu saya untuk memahami dan belajar bahasa jepang dan semoga saya juga bisa ke jepang suatu saat nanti,"['semoga', 'aplikasi', 'ini', 'bisa', 'membantu', 'saya', 'untuk', 'memahami', 'dan', 'belajar', 'bahasa', 'jepang', 'dan', 'semoga', 'saya', 'juga', 'bisa', 'ke', 'jepang', 'suatu', 'saat', 'nanti']","['semoga', 'aplikasi', 'ini', 'bisa', 'membantu', 'saya', 'untuk', 'memahami', 'dan', 'belajar', 'bahasa', 'jepang', 'dan', 'semoga', 'saya', 'juga', 'bisa', 'ke', 'jepang', 'suatu', 'saat', 'nanti']","['semoga', 'aplikasi', 'membantu', 'memahami', 'belajar', 'bahasa', 'jepang', 'semoga', 'jepang']",semoga aplikasi membantu memahami belajar bahasa jepang semoga jepang,moga aplikasi bantu paham ajar bahasa jepang moga jepang,,"['moga', 'aplikasi', 'bantu', 'paham', 'ajar', 'bahasa', 'jepang', 'moga', 'jepang']",17,positive
Pelajarannya Mudah Untuk Di Pahami,Pelajarannya Mudah Untuk Di Pahami,pelajarannya mudah untuk di pahami,pelajarannya mudah untuk di pahami,pelajarannya mudah untuk di pahami,"['pelajarannya', 'mudah', 'untuk', 'di', 'pahami']","['pelajarannya', 'mudah', 'untuk', 'di', 'pahami']","['pelajarannya', 'mudah', 'pahami']",pelajarannya mudah pahami,ajar mudah paham,,"['ajar', 'mudah', 'paham']",4,positive
mantep apk nya,mantep apk nya,mantep apk nya,mantep apk nya,mantap apk nya,"['mantap', 'apk', 'nya']","['mantap', 'apk', 'nya']","['mantap', 'apk']",mantap apk,mantap apk,,"['mantap', 'apk']",2,positive
bagus banget sih aku baru beberapa bulan udah lumayan bisa bahasa Jepang pokoknya cepet download deh kalo gak nyesel,bagus banget sih aku baru beberapa bulan udah lumayan bisa bahasa Jepang pokoknya cepet download deh kalo gak nyesel,bagus banget sih aku baru beberapa bulan udah lumayan bisa bahasa jepang pokoknya cepet download deh kalo gak nyesel,bagus banget sih aku baru beberapa bulan udah lumayan bisa bahasa jepang pokoknya cepet download deh kalo gak nyesel,bagus banget sih aku baru beberapa bulan sudah lumayan bisa bahasa jepang pokoknya cepat download deh kalau tidak nyesel,"['bagus', 'banget', 'sih', 'aku', 'baru', 'beberapa', 'bulan', 'sudah', 'lumayan', 'bisa', 'bahasa', 'jepang', 'pokoknya', 'cepat', 'download', 'deh', 'kalau', 'tidak', 'nyesel']","['bagus', 'banget', 'sih', 'aku', 'baru', 'beberapa', 'bulan', 'sudah', 'lumayan', 'bisa', 'bahasa', 'jepang', 'pokoknya', 'cepat', 'download', 'deh', 'kalau', 'tidak', 'nyesel']","['bagus', 'banget', 'lumayan', 'bahasa', 'jepang', 'pokoknya', 'cepat', 'download', 'deh', 'nyesel']",bagus banget lumayan bahasa jepang pokoknya cepat download deh nyesel,bagus banget lumayan bahasa jepang pokok cepat download deh nyesel,,"['bagus', 'banget', 'lumayan', 'bahasa', 'jepang', 'pokok', 'cepat', 'download', 'deh', 'nyesel']",14,positive
bagus banget aku suka❤,bagus banget aku suka,bagus banget aku suka,bagus banget aku suka,bagus banget aku suka,"['bagus', 'banget', 'aku', 'suka']","['bagus', 'banget', 'aku', 'suka']","['bagus', 'banget', 'suka']",bagus banget suka,bagus banget suka,,"['bagus', 'banget', 'suka']",6,positive
"mudah dipahami, do'akan saya cepat bisa bahasa jepang ya😁",mudah dipahami doakan saya cepat bisa bahasa jepang ya,mudah dipahami doakan saya cepat bisa bahasa jepang ya,mudah dipahami doakan saya cepat bisa bahasa jepang ya,mudah dipahami doakan saya cepat bisa bahasa jepang iya,"['mudah', 'dipahami', 'doakan', 'saya', 'cepat', 'bisa', 'bahasa', 'jepang', 'iya']","['mudah', 'dipahami', 'doakan', 'saya', 'cepat', 'bisa', 'bahasa', 'jepang', 'iya']","['mudah', 'dipahami', 'doakan', 'cepat', 'bahasa', 'jepang']",mudah dipahami doakan cepat bahasa jepang,mudah paham doa cepat bahasa jepang,,"['mudah', 'paham', 'doa', 'cepat', 'bahasa', 'jepang']",12,positive
"Bagus sih jadi bisa berbahasa jepang walaupun sedikit"" cuman iklannya ganggu banget",Bagus sih jadi bisa berbahasa jepang walaupun sedikit cuman iklannya ganggu banget,bagus sih jadi bisa berbahasa jepang walaupun sedikit cuman iklannya ganggu banget,bagus sih jadi bisa berbahasa jepang sedikit cuman iklannya ganggu banget,bagus sih jadi bisa berbahasa jepang sedikit cuma iklannya ganggu banget,"['bagus', 'sih', 'jadi', 'bisa', 'berbahasa', 'jepang', 'sedikit', 'cuma', 'iklannya', 'ganggu', 'banget']","['bagus', 'sih', 'jadi', 'bisa', 'berbahasa', 'jepang', 'sedikit', 'cuma', 'iklannya', 'ganggu', 'banget']","['bagus', 'berbahasa', 'jepang', 'iklannya', 'ganggu', 'banget']",bagus berbahasa jepang iklannya ganggu banget,bagus bahasa jepang iklan ganggu banget,,"['bagus', 'bahasa', 'jepang', 'iklan', 'ganggu', 'banget']",13,positive
sejauh ini bguss membantu bgt 😍😍😍,sejauh ini bguss membantu bgt,sejauh ini bguss membantu bgt,sejauh ini bguss membantu bgt,sejauh ini bguss membantu banget,"['sejauh', 'ini', 'bguss', 'membantu', 'banget']","['sejauh', 'ini', 'bguss', 'membantu', 'banget']","['bguss', 'membantu', 'banget']",bguss membantu banget,bguss bantu banget,,"['bguss', 'bantu', 'banget']",5,positive
berguna sekAli,berguna sekAli,berguna sekali,berguna sekali,berguna sekali,"['berguna', 'sekali']","['berguna', 'sekali']",['berguna'],berguna,guna,,['guna'],1,positive
apk nya baguss,apk nya baguss,apk nya baguss,apk nya baguss,apk nya baguss,"['apk', 'nya', 'baguss']","['apk', 'nya', 'baguss']","['apk', 'baguss']",apk baguss,apk baguss,,"['apk', 'baguss']",0,neutral
"lebih baik dari Duolingo menurut ku, lebih enak aja gitu",lebih baik dari Duolingo menurut ku lebih enak aja gitu,lebih baik dari duolingo menurut ku lebih enak aja gitu,lebih baik dari duolingo menurut ku lebih enak aja gitu,lebih baik dari duolingo menurut ku lebih enak saja begitu,"['lebih', 'baik', 'dari', 'duolingo', 'menurut', 'ku', 'lebih', 'enak', 'saja', 'begitu']","['lebih', 'baik', 'dari', 'duolingo', 'menurut', 'ku', 'lebih', 'enak', 'saja', 'begitu']","['baik', 'duolingo', 'enak']",baik duolingo enak,baik duolingo enak,,"['baik', 'duolingo', 'enak']",5,positive
sangat bagus😆,sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']",['bagus'],bagus,bagus,,['bagus'],4,positive
membantu sekali untuk pelajar,membantu sekali untuk pelajar,membantu sekali untuk pelajar,membantu sekali untuk pelajar,membantu sekali untuk pelajar,"['membantu', 'sekali', 'untuk', 'pelajar']","['membantu', 'sekali', 'untuk', 'pelajar']","['membantu', 'pelajar']",membantu pelajar,bantu ajar,,"['bantu', 'ajar']",7,positive
"SANGAT MEMBANTU, SEMOGA SAYA BISA SUKSES LEWAT APLIKASI HEYJAPAN INI🤩🤩🤩",SANGAT MEMBANTU SEMOGA SAYA BISA SUKSES LEWAT APLIKASI HEYJAPAN INI,sangat membantu semoga saya bisa sukses lewat aplikasi heyjapan ini,sangat membantu semoga saya bisa sukses lewat aplikasi heyjapan ini,sangat membantu semoga saya bisa sukses lewat aplikasi heyjapan ini,"['sangat', 'membantu', 'semoga', 'saya', 'bisa', 'sukses', 'lewat', 'aplikasi', 'heyjapan', 'ini']","['sangat', 'membantu', 'semoga', 'saya', 'bisa', 'sukses', 'lewat', 'aplikasi', 'heyjapan', 'ini']","['membantu', 'semoga', 'sukses', 'aplikasi', 'heyjapan']",membantu semoga sukses aplikasi heyjapan,bantu moga sukses aplikasi heyjapan,,"['bantu', 'moga', 'sukses', 'aplikasi', 'heyjapan']",12,positive
"ini aplikasi membantu bngt sih buat yang belajar bahasa jepang. Kalian bisa mulai dari nol, dan cara melafalnya juga seru. Pokoknya ini aplikasi baguss banget! cepetan download!",ini aplikasi membantu bngt sih buat yang belajar bahasa jepang Kalian bisa mulai dari nol dan cara melafalnya juga seru Pokoknya ini aplikasi baguss banget cepetan download,ini aplikasi membantu bngt sih buat yang belajar bahasa jepang kalian bisa mulai dari nol dan cara melafalnya juga seru pokoknya ini aplikasi baguss banget cepetan download,ini aplikasi membantu bngt sih buat yang belajar bahasa jepang kalian bisa mulai dari nol dan cara melafalnya juga seru pokoknya ini aplikasi baguss banget cepetan download,ini aplikasi membantu bngt sih buat yang belajar bahasa jepang kalian bisa mulai dari nol dan cara melafalnya juga seru pokoknya ini aplikasi baguss banget cepetan download,"['ini', 'aplikasi', 'membantu', 'bngt', 'sih', 'buat', 'yang', 'belajar', 'bahasa', 'jepang', 'kalian', 'bisa', 'mulai', 'dari', 'nol', 'dan', 'cara', 'melafalnya', 'juga', 'seru', 'pokoknya', 'ini', 'aplikasi', 'baguss', 'banget', 'cepetan', 'download']","['ini', 'aplikasi', 'membantu', 'bngt', 'sih', 'buat', 'yang', 'belajar', 'bahasa', 'jepang', 'kalian', 'bisa', 'mulai', 'dari', 'nol', 'dan', 'cara', 'melafalnya', 'juga', 'seru', 'pokoknya', 'ini', 'aplikasi', 'baguss', 'banget', 'cepetan', 'download']","['aplikasi', 'membantu', 'bngt', 'belajar', 'bahasa', 'jepang', 'nol', 'melafalnya', 'seru', 'pokoknya', 'aplikasi', 'baguss', 'banget', 'cepetan', 'download']",aplikasi membantu bngt belajar bahasa jepang nol melafalnya seru pokoknya aplikasi baguss banget cepetan download,aplikasi bantu bngt ajar bahasa jepang nol lafal seru pokok aplikasi baguss banget cepetan download,,"['aplikasi', 'bantu', 'bngt', 'ajar', 'bahasa', 'jepang', 'nol', 'lafal', 'seru', 'pokok', 'aplikasi', 'baguss', 'banget', 'cepetan', 'download']",35,positive
"bagus bgt aplikasinya ngasah kemampuan kita,terlebih ada gambarnya suka bgt❤️✨✨💖 jangan ragu download,kita sama2 belajar 🧚🏻‍♀️",bagus bgt aplikasinya ngasah kemampuan kitaterlebih ada gambarnya suka bgt jangan ragu downloadkita sama belajar,bagus bgt aplikasinya ngasah kemampuan kitaterlebih ada gambarnya suka bgt jangan ragu downloadkita sama belajar,bagus bgt aplikasinya ngasah kemampuan kitaterlebih ada gambarnya suka bgt jangan ragu downloadkita sama belajar,bagus banget aplikasinya ngasah kemampuan kitaterlebih ada gambarnya suka banget jangan ragu downloadkita sama belajar,"['bagus', 'banget', 'aplikasinya', 'ngasah', 'kemampuan', 'kitaterlebih', 'ada', 'gambarnya', 'suka', 'banget', 'jangan', 'ragu', 'downloadkita', 'sama', 'belajar']","['bagus', 'banget', 'aplikasinya', 'ngasah', 'kemampuan', 'kitaterlebih', 'ada', 'gambarnya', 'suka', 'banget', 'jangan', 'ragu', 'downloadkita', 'sama', 'belajar']","['bagus', 'banget', 'aplikasinya', 'ngasah', 'kemampuan', 'kitaterlebih', 'gambarnya', 'suka', 'banget', 'ragu', 'downloadkita', 'belajar']",bagus banget aplikasinya ngasah kemampuan kitaterlebih gambarnya suka banget ragu downloadkita belajar,bagus banget aplikasi ngasah mampu kitaterlebih gambar suka banget ragu downloadkita ajar,,"['bagus', 'banget', 'aplikasi', 'ngasah', 'mampu', 'kitaterlebih', 'gambar', 'suka', 'banget', 'ragu', 'downloadkita', 'ajar']",24,positive
sangat puass dan lebih mempermudah saya dalam menghapal bahasa jepangg makasihh banyak buat developer yang telah membuat apk sebagus ini 🤩,sangat puass dan lebih mempermudah saya dalam menghapal bahasa jepangg makasihh banyak buat developer yang telah membuat apk sebagus ini,sangat puass dan lebih mempermudah saya dalam menghapal bahasa jepangg makasihh banyak buat developer yang telah membuat apk sebagus ini,sangat puass dan lebih mempermudah saya dalam menghapal bahasa jepangg makasihh banyak buat developer yang telah membuat apk sebagus ini,sangat puass dan lebih mempermudah saya dalam menghapal bahasa jepangg makasihh banyak buat developer yang telah membuat apk sebagus ini,"['sangat', 'puass', 'dan', 'lebih', 'mempermudah', 'saya', 'dalam', 'menghapal', 'bahasa', 'jepangg', 'makasihh', 'banyak', 'buat', 'developer', 'yang', 'telah', 'membuat', 'apk', 'sebagus', 'ini']","['sangat', 'puass', 'dan', 'lebih', 'mempermudah', 'saya', 'dalam', 'menghapal', 'bahasa', 'jepangg', 'makasihh', 'banyak', 'buat', 'developer', 'yang', 'telah', 'membuat', 'apk', 'sebagus', 'ini']","['puass', 'mempermudah', 'menghapal', 'bahasa', 'jepangg', 'makasihh', 'developer', 'apk', 'sebagus']",puass mempermudah menghapal bahasa jepangg makasihh developer apk sebagus,puass mudah menghapal bahasa jepangg makasihh developer apk bagus,,"['puass', 'mudah', 'menghapal', 'bahasa', 'jepangg', 'makasihh', 'developer', 'apk', 'bagus']",9,positive
sugoooiii,sugoooiii,sugoooiii,sugoooiii,sugoooiii,['sugoooiii'],['sugoooiii'],['sugoooiii'],sugoooiii,sugoooiii,,['sugoooiii'],0,neutral
"Rekomendet untuk orang mau belajar bahasa jepang apa lagi orang wibu hemmm,auto pake bahasa jepang sepanjang hari, 😄🤗🌻🌻",Rekomendet untuk orang mau belajar bahasa jepang apa lagi orang wibu hemmmauto pake bahasa jepang sepanjang hari,rekomendet untuk orang mau belajar bahasa jepang apa lagi orang wibu hemmmauto pake bahasa jepang sepanjang hari,rekomendet untuk orang mau belajar bahasa jepang apa lagi orang wibu hemmmauto pake bahasa jepang sepanjang hari,rekomendet untuk orang mau belajar bahasa jepang apa lagi orang wibu hemmmauto pakai bahasa jepang sepanjang hari,"['rekomendet', 'untuk', 'orang', 'mau', 'belajar', 'bahasa', 'jepang', 'apa', 'lagi', 'orang', 'wibu', 'hemmmauto', 'pakai', 'bahasa', 'jepang', 'sepanjang', 'hari']","['rekomendet', 'untuk', 'orang', 'mau', 'belajar', 'bahasa', 'jepang', 'apa', 'lagi', 'orang', 'wibu', 'hemmmauto', 'pakai', 'bahasa', 'jepang', 'sepanjang', 'hari']","['rekomendet', 'orang', 'belajar', 'bahasa', 'jepang', 'orang', 'wibu', 'hemmmauto', 'pakai', 'bahasa', 'jepang']",rekomendet orang belajar bahasa jepang orang wibu hemmmauto pakai bahasa jepang,rekomendet orang ajar bahasa jepang orang wibu hemmmauto pakai bahasa jepang,,"['rekomendet', 'orang', 'ajar', 'bahasa', 'jepang', 'orang', 'wibu', 'hemmmauto', 'pakai', 'bahasa', 'jepang']",11,positive
yahitulah 🗿,yahitulah,yahitulah,yahitulah,yahitulah,['yahitulah'],['yahitulah'],['yahitulah'],yahitulah,yahitulah,,['yahitulah'],0,neutral
bagu aplikasinya tapi ada yang tidak saya ngerti,bagu aplikasinya tapi ada yang tidak saya ngerti,bagu aplikasinya tapi ada yang tidak saya ngerti,bagu aplikasinya ada yang tidak saya ngerti,bagu aplikasinya ada yang tidak saya mengerti,"['bagu', 'aplikasinya', 'ada', 'yang', 'tidak', 'saya', 'mengerti']","['bagu', 'aplikasinya', 'ada', 'yang', 'tidak', 'saya', 'mengerti']","['bagu', 'aplikasinya', 'mengerti']",bagu aplikasinya mengerti,bagu aplikasi erti,,"['bagu', 'aplikasi', 'erti']",6,positive
cara. latihan nulisnya gmn? kok gabisa diapa apain,cara latihan nulisnya gmn kok gabisa diapa apain,cara latihan nulisnya gmn kok gabisa diapa apain,cara latihan nulisnya gmn kok gabisa diapa apain,cara latihan nulisnya bagaimana kok tidak bisa diapa apain,"['cara', 'latihan', 'nulisnya', 'bagaimana', 'kok', 'tidak', 'bisa', 'diapa', 'apain']","['cara', 'latihan', 'nulisnya', 'bagaimana', 'kok', 'tidak', 'bisa', 'diapa', 'apain']","['latihan', 'nulisnya', 'diapa', 'apain']",latihan nulisnya diapa apain,latih nulisnya apa apain,,"['latih', 'nulisnya', 'apa', 'apain']",5,positive
"ayah aku bisa bahasa Jepanggg, jadi aku bisa ngomong Jepang kee diaaaa💗💗, makasih yaa💗😋😋",ayah aku bisa bahasa Jepanggg jadi aku bisa ngomong Jepang kee diaaaa makasih yaa,ayah aku bisa bahasa jepanggg jadi aku bisa ngomong jepang kee diaaaa makasih yaa,ayah aku bisa bahasa jepanggg jadi aku bisa ngomong jepang kee diaaaa makasih yaa,ayah aku bisa bahasa jepanggg jadi aku bisa bicara jepang kee diaaaa terima kasih yaa,"['ayah', 'aku', 'bisa', 'bahasa', 'jepanggg', 'jadi', 'aku', 'bisa', 'bicara', 'jepang', 'kee', 'diaaaa', 'terima', 'kasih', 'yaa']","['ayah', 'aku', 'bisa', 'bahasa', 'jepanggg', 'jadi', 'aku', 'bisa', 'bicara', 'jepang', 'kee', 'diaaaa', 'terima', 'kasih', 'yaa']","['ayah', 'bahasa', 'jepanggg', 'bicara', 'jepang', 'kee', 'diaaaa', 'terima', 'kasih']",ayah bahasa jepanggg bicara jepang kee diaaaa terima kasih,ayah bahasa jepanggg bicara jepang kee diaaaa terima kasih,,"['ayah', 'bahasa', 'jepanggg', 'bicara', 'jepang', 'kee', 'diaaaa', 'terima', 'kasih']",7,positive
gaga skali,gaga skali,gaga skali,gaga skali,gaga sekali,"['gaga', 'sekali']","['gaga', 'sekali']",['gaga'],gaga,gaga,,['gaga'],0,neutral
"bagusss bngettt anak sy jadi bisa lancar berbahasa jepang karena apk ini,, makasih yaa",bagusss bngettt anak sy jadi bisa lancar berbahasa jepang karena apk ini makasih yaa,bagusss bngettt anak sy jadi bisa lancar berbahasa jepang karena apk ini makasih yaa,bagusss bngettt anak sy jadi bisa lancar berbahasa jepang karena apk ini makasih yaa,bagusss bngettt anak saya jadi bisa lancar berbahasa jepang karena apk ini terima kasih yaa,"['bagusss', 'bngettt', 'anak', 'saya', 'jadi', 'bisa', 'lancar', 'berbahasa', 'jepang', 'karena', 'apk', 'ini', 'terima', 'kasih', 'yaa']","['bagus', 'bngettt', 'anak', 'saya', 'jadi', 'bisa', 'lancar', 'berbahasa', 'jepang', 'karena', 'apk', 'ini', 'terima', 'kasih', 'yaa']","['bagus', 'bngettt', 'anak', 'lancar', 'berbahasa', 'jepang', 'apk', 'terima', 'kasih']",bagus bngettt anak lancar berbahasa jepang apk terima kasih,bagus bngettt anak lancar bahasa jepang apk terima kasih,,"['bagus', 'bngettt', 'anak', 'lancar', 'bahasa', 'jepang', 'apk', 'terima', 'kasih']",16,positive
seru dan menyenangkan saat belajar,seru dan menyenangkan saat belajar,seru dan menyenangkan saat belajar,seru dan menyenangkan saat belajar,seru dan menyenangkan saat belajar,"['seru', 'dan', 'menyenangkan', 'saat', 'belajar']","['seru', 'dan', 'menyenangkan', 'saat', 'belajar']","['seru', 'menyenangkan', 'belajar']",seru menyenangkan belajar,seru senang ajar,,"['seru', 'senang', 'ajar']",12,positive
sumpah ini bagus banget aplikasi aku kasih bintang 5 kalo bisa aku mau 100 karena ini aplikasi bagus banget makasih hey japan kita jadi bisa ngomong bahasa jepang makasih sekali lagi hey japan dadah,sumpah ini bagus banget aplikasi aku kasih bintang  kalo bisa aku mau  karena ini aplikasi bagus banget makasih hey japan kita jadi bisa ngomong bahasa jepang makasih sekali lagi hey japan dadah,sumpah ini bagus banget aplikasi aku kasih bintang  kalo bisa aku mau  karena ini aplikasi bagus banget makasih hey japan kita jadi bisa ngomong bahasa jepang makasih sekali lagi hey japan dadah,sumpah ini bagus banget aplikasi aku kasih bintang  kalo bisa aku mau  karena ini aplikasi bagus banget makasih hey japan kita jadi bisa ngomong bahasa jepang makasih sekali lagi hey japan dadah,sumpah ini bagus banget aplikasi aku kasih bintang kalau bisa aku mau karena ini aplikasi bagus banget terima kasih hai japan kita jadi bisa bicara bahasa jepang terima kasih sekali lagi hai japan dadah,"['sumpah', 'ini', 'bagus', 'banget', 'aplikasi', 'aku', 'kasih', 'bintang', 'kalau', 'bisa', 'aku', 'mau', 'karena', 'ini', 'aplikasi', 'bagus', 'banget', 'terima', 'kasih', 'hai', 'japan', 'kita', 'jadi', 'bisa', 'bicara', 'bahasa', 'jepang', 'terima', 'kasih', 'sekali', 'lagi', 'hai', 'japan', 'dadah']","['sumpah', 'ini', 'bagus', 'banget', 'aplikasi', 'aku', 'kasih', 'bintang', 'kalau', 'bisa', 'aku', 'mau', 'karena', 'ini', 'aplikasi', 'bagus', 'banget', 'terima', 'kasih', 'hai', 'japan', 'kita', 'jadi', 'bisa', 'bicara', 'bahasa', 'jepang', 'terima', 'kasih', 'sekali', 'lagi', 'hai', 'japan', 'dadah']","['sumpah', 'bagus', 'banget', 'aplikasi', 'kasih', 'bintang', 'aplikasi', 'bagus', 'banget', 'terima', 'kasih', 'hai', 'japan', 'bicara', 'bahasa', 'jepang', 'terima', 'kasih', 'hai', 'japan', 'dadah']",sumpah bagus banget aplikasi kasih bintang aplikasi bagus banget terima kasih hai japan bicara bahasa jepang terima kasih hai japan dadah,sumpah bagus banget aplikasi kasih bintang aplikasi bagus banget terima kasih hai japan bicara bahasa jepang terima kasih hai japan dadah,,"['sumpah', 'bagus', 'banget', 'aplikasi', 'kasih', 'bintang', 'aplikasi', 'bagus', 'banget', 'terima', 'kasih', 'hai', 'japan', 'bicara', 'bahasa', 'jepang', 'terima', 'kasih', 'hai', 'japan', 'dadah']",42,positive
bagus bet,bagus bet,bagus bet,bagus bet,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",bagus banget,bagus banget,,"['bagus', 'banget']",5,positive
cepat dipahami,cepat dipahami,cepat dipahami,cepat dipahami,cepat dipahami,"['cepat', 'dipahami']","['cepat', 'dipahami']","['cepat', 'dipahami']",cepat dipahami,cepat paham,,"['cepat', 'paham']",3,positive
bagusss bangettt tapi aku saranin ada gambar animenya biar semangattt😼😼,bagusss bangettt tapi aku saranin ada gambar animenya biar semangattt,bagusss bangettt tapi aku saranin ada gambar animenya biar semangattt,bagusss bangettt aku saranin ada gambar animenya biar semangattt,bagusss bangettt aku saranin ada gambar animenya biar semangattt,"['bagusss', 'bangettt', 'aku', 'saranin', 'ada', 'gambar', 'animenya', 'biar', 'semangattt']","['bagus', 'banget', 'aku', 'saranin', 'ada', 'gambar', 'animenya', 'biar', 'semangattt']","['bagus', 'banget', 'saranin', 'gambar', 'animenya', 'biar', 'semangattt']",bagus banget saranin gambar animenya biar semangattt,bagus banget saranin gambar animenya biar semangattt,,"['bagus', 'banget', 'saranin', 'gambar', 'animenya', 'biar', 'semangattt']",11,positive
bagus deh pokoknya,bagus deh pokoknya,bagus deh pokoknya,bagus deh pokoknya,bagus deh pokoknya,"['bagus', 'deh', 'pokoknya']","['bagus', 'deh', 'pokoknya']","['bagus', 'deh', 'pokoknya']",bagus deh pokoknya,bagus deh pokok,,"['bagus', 'deh', 'pokok']",7,positive
